Code,School,PRINCIPAL,ADDR1,CITY,STATE,Zip,PARISH,Phone,Grades,District,MGMT,TMgmt,CHARTER,tEnroll,Enroll,English,tEnglish,nEnglish,tGrades,Lunch,tLunch,Longitude,Latitude
392001,McDonogh #28 City Park Academy,Christine Mitchell,2733 Esplanade Ave,New Orleans,LA,Orleans,70119,504-940-1740,"K, 1st-8th",RSD,RSD-Charter,RSDregchart,Single school charter,2,372,0 students,1,&nbsp;,1,100%,3,-90.079941,29.977295
393001,Lafayette Academy of New Orleans,"Linda Comer, Interim",2727 S Carrollton Ave,New Orleans,LA,Orleans,70118,504-861-8370,"PK, K, 1st-7th",RSD,RSD-Charter,RSDregchart,Single school charter,4,778,0 students,1,&nbsp;,1,87%,2,-90.116257,29.959961
394003,McDonogh #42 Elementary Charter School,Mickey Landry,1651 N Tonti St,New Orleans,LA,Orleans,70119,504-942-3660,"PK, K, 1st-8th",RSD,RSD-Charter,RSDregchart,Single school charter,3,527,0 students,1,&nbsp;,1,86%,2,-90.071037,29.9779
395001,Martin Behrman Elementary School,Marion Johnson,715 Opelousas Ave,New Orleans,LA,Orleans,70114,504-302-7090,"PS, PK, K, 1st-8th",RSD,RSD-Charter,RSDregchart,Algiers Charter Schools Assoc.,4,616,10 students,1,&nbsp;,1,90%,2,-90.048996,29.948631
395002,Dwight D. Eisenhower Elementary School,Rene C. Lewis-Carter,3700 Tall Pines Dr,New Orleans,LA,Orleans,70131,504-398-7125,"PK, K, 1st-8th",RSD,RSD-Charter,RSDregchart,Algiers Charter Schools Assoc.,3,594,51 students,3,&nbsp;,1,82%,2,-89.998711,29.905409
395003,William J. Fischer Elementary School,Monica Boudouin,1801 L B Landry Ave,New Orleans,LA,Orleans,70114,504-304-3976,"PK, K, 1st-8th",RSD,RSD-Charter,RSDregchart,Algiers Charter Schools Assoc.,3,451,0 students,1,&nbsp;,1,93%,3,-90.041542,29.936113
395004,McDonogh #32 Elementary School,Dahme Bolden,800 De Armas St,New Orleans,LA,Orleans,70114,504-373-6285,"PS, PK, K, 1st-8th",RSD,RSD-Charter,RSDregchart,Algiers Charter Schools Assoc.,3,571,0 students,1,&nbsp;,1,87%,2,-90.048431,29.943439
395005,O.P. Walker Senior High School,Lee Green,2832 General Meyer Ave,New Orleans,LA,Orleans,70114,504-302-7170,9th-12th,RSD,RSD-Charter,RSDregchart,Algiers Charter Schools Assoc.,4,857,9 students,1,&nbsp;,3,87%,2,-90.026939,29.942488
395006,Harriet Tubman Elementary School,Mary L. Laurie,2013 General Meyer Ave,New Orleans,LA,Orleans,70114,504-363-1064,"PS, PK, K, 1st-8th",RSD,RSD-Charter,RSDregchart,Algiers Charter Schools Assoc.,3,485,0 students,1,&nbsp;,1,89%,2,-90.036751,29.944839
395007,Algiers Technology Academy,Jonathan Williams,6501 Berkley Dr,New Orleans,LA,Orleans,70131,504-433-7134,9th-12th,RSD,RSD-Charter,RSDregchart,Algiers Charter Schools Assoc.,2,347,6 students,1,&nbsp;,3,68%,1,-89.985054,29.917553
396001,Joseph A. Craig School,Wanda Anderson-Guillaume,5316 Michoud Blvd,New Orleans,LA,Orleans,70129,504-373-6298,"PS, PK, K, 1st-8th",RSD,RSD,RSDreg,Not a charter,3,541,6 students,1,&nbsp;,1,92%,3,-89.930473,30.040487
396002,Joseph S. Clark Senior High School,Shan Williams,1301 N Derbigny St,New Orleans,LA,Orleans,70116,504-373-6202,9th-12th,RSD,RSD,RSDreg,Not a charter,2,284,0 students,1,&nbsp;,3,68%,1,-90.070313,29.969212
396003,Benjamin Banneker Elementary School,Cheryllyn Branche,421 Burdette St,New Orleans,LA,Orleans,70118,504-373-6203,"PS, PK, K, 1st-8th",RSD,RSD,RSDreg,Not a charter,3,505,4 students,1,&nbsp;,1,96%,3,-90.133064,29.939774
396004,Walter L. Cohen High School,Alfred Jones,3520 Dryades St,New Orleans,LA,Orleans,70115,504-373-6204,8th-12th,RSD,RSD,RSDreg,Not a charter,3,409,2 students,1,&nbsp;,3,76%,1,-90.094139,29.930502
396005,John Dibert Elementary School,Keith Bartlett,4217 Orleans Ave,New Orleans,LA,Orleans,70119,504-373-6205,"PK, K, 1st-8th",RSD,RSD,RSDreg,Not a charter,2,358,16 students,2,&nbsp;,1,87%,2,-90.09771,29.981117
396006,Booker T. Washington High School,Cory Thames,1201 S Roman St,New Orleans,LA,Orleans,70125,504-373-6200,6th-8th,RSD,RSD,RSDreg,Not a charter,1,160,0 students,1,&nbsp;,2,91%,3,-90.088814,29.949656
396007,Fredrick A. Douglass High School,Kelli Charles,3820 Saint Claude Ave,New Orleans,LA,Orleans,70117,504-373-6207,9th-12th,RSD,RSD,RSDreg,Not a charter,2,291,0 students,1,&nbsp;,3,70%,1,-90.037041,29.965887
396008,Dr. Charles Richard Drew Elementary School,Marc Merriman,3819 Saint Claude Ave,New Orleans,LA,Orleans,70117,504-373-6208,3rd-8th,RSD,RSD,RSDreg,Not a charter,2,317,0 students,1,&nbsp;,1,95%,3,-90.03698,29.966166
396009,Paul B. Habans Elementary School,Olga Johnson-Walters,3819 Herschel St,New Orleans,LA,Orleans,70114,504-373-6209,"PK, K, 1st-8th",RSD,RSD,RSDreg,Not a charter,2,366,11 students,2,&nbsp;,1,85%,2,-90.017174,29.926216
396010,Murray Henderson Elementary School,Beverly Johnson-Jelks,1912 L B Landry Ave,New Orleans,LA,Orleans,70114,504-373-6210,"PK, K, 1st-8th",RSD,RSD,RSDreg,Not a charter,2,238,2 students,1,&nbsp;,1,98%,3,-90.041397,29.934303
396011,John McDonogh Senior High School,Gerald Debose,2426 Esplanade Ave,New Orleans,LA,Orleans,70119,504-373-6211,8th-12th,RSD,RSD,RSDreg,Not a charter,3,591,0 students,1,&nbsp;,3,79%,1,-90.076035,29.974375
396012,James Weldon Johnson School,Wanda D. Brooks,1800 Monroe St,New Orleans,LA,Orleans,70118,504-373-6212,"PK, K, 1st-8th",RSD,RSD,RSDreg,Not a charter,2,307,0 students,1,&nbsp;,1,97%,3,-90.130249,29.95573
396013,Laurel Elementary School,Janet Johnson,820 Jackson Ave,New Orleans,LA,Orleans,70130,504-373-6213,"PS, PK, K, 1st-8th",RSD,RSD,RSDreg,Not a charter,3,537,4 students,1,&nbsp;,1,95%,3,-90.074928,29.927317
396014,Live Oak Elementary School,Leslie Williams,3128 Constance St,New Orleans,LA,Orleans,70115,504-373-6214,"PS, PK, K, 1st-8th",RSD,RSD,RSDreg,Not a charter,3,490,3 students,1,&nbsp;,1,92%,3,-90.085434,29.923279
396016,Rabouin Career Magnet High School,Natalie Franklin,727 Carondelet St,New Orleans,LA,Orleans,70130,504-373-6216,9th-12th,RSD,RSD,RSDreg,Not a charter,2,295,3 students,1,&nbsp;,3,82%,2,-90.072693,29.947201
396017,Sarah Towles Reed Senior High School,Karen Collins,5316 Michoud Blvd,New Orleans,LA,Orleans,70129,504-373-6217,9th-12th,RSD,RSD,RSDreg,Not a charter,3,585,24 students,2,&nbsp;,3,73%,1,-89.930473,30.040487
396019,A.P. Tureaud Elementary School,Perretta Mitchell,2021 Pauger St,New Orleans,LA,Orleans,70116,504-373-6219,"PS, PK, K, 1st-6th",RSD,RSD,RSDreg,Not a charter,2,338,1 students,1,&nbsp;,1,94%,3,-90.060524,29.970592
396020,Albert Wicker Literacy Academy,Ella Lewis,2011 Bienville St,New Orleans,LA,Orleans,70112,504-373-6220,4th-8th,RSD,RSD,RSDreg,Not a charter,2,245,0 students,1,&nbsp;,2,94%,3,-90.079063,29.96274
396021,Sarah Towles Reed Elementary School,Daphyne Burnett,5552 Read Blvd,New Orleans,LA,Orleans,70127,504-373-6221,"PK, K, 1st-8th",RSD,RSD,RSDreg,Not a charter,3,594,9 students,1,&nbsp;,1,92%,3,-89.971672,30.030725
396022,Schwarz Alternative School,Reginald Field,709 Park Blvd,New Orleans,LA,Orleans,70114,504-312-0739,9th-12th,RSD,RSD,RSDreg,Not a charter,1,54,0 students,1,&nbsp;,3,83%,2,-90.04747,29.939768
396025,Carver Elementary School,Clinton Smith,3019 Higgins Blvd,New Orleans,LA,Orleans,70126,504-373-6225,3rd-8th,RSD,RSD,RSDreg,Not a charter,2,257,0 students,1,&nbsp;,1,96%,3,-90.038582,29.993238
396026,G.W. Carver High School,"Vanessa Eugene, PhD",3059 Higgins Blvd,New Orleans,LA,Orleans,70126,504-373-6226,8th-12th,RSD,RSD,RSDreg,Not a charter,3,460,1 students,1,&nbsp;,3,95%,3,-90.037888,29.993361
396028,Fannie C. Williams Elementary School,Kelly Batiste,11755 Dwyer Rd,New Orleans,LA,Orleans,70128,504-373-6228,"PS, PK, K, 1st-8th",RSD,RSD,RSDreg,Not a charter,3,536,4 students,1,&nbsp;,1,94%,3,-89.942909,30.031849
396029,F.W. Gregory Elementary School,Troye Washington,1700 Pratt Dr,New Orleans,LA,Orleans,70122,504-373-6229,3rd-8th,RSD,RSD,RSDreg,Not a charter,2,289,1 students,1,&nbsp;,1,92%,3,-90.07077,30.004721
396030,Harney Elementary School,Eileen Williams,2503 Willow St,New Orleans,LA,Orleans,70113,504-373-6230,"PS, PK, K, 1st-8th",RSD,RSD,RSDreg,Not a charter,3,421,1 students,1,&nbsp;,1,96%,3,-90.091499,29.942921
396034,H.C. Schaumburg Elementary School,Josette Ripoll,9501 Grant St,New Orleans,LA,Orleans,70127,504-373-6234,"PS, PK, K, 1st-8th",RSD,RSD,RSDreg,Not a charter,4,613,8 students,1,&nbsp;,1,95%,3,-89.975693,30.018974
396036,Excel Academy,Stanley R. Green,2239 Poydras St,New Orleans,LA,Orleans,70119,504-373-6244,9th-12th,RSD,RSD,RSDreg,Not a charter,1,68,0 students,1,&nbsp;,3,88%,2,-90.088142,29.956297
396037,Mary D. Coghill Elementary School,Aisha Jones,5500 Piety Dr,New Orleans,LA,Orleans,70126,504-373-6237,"PS, PK, K, 1st-8th",RSD,RSD,RSDreg,Not a charter,3,534,0 students,1,&nbsp;,1,92%,3,-90.038193,30.01609
396040,Gentilly Terrace Elementary School,Charlotte Tillman,4720 Painters St,New Orleans,LA,Orleans,70122,504-373-6240,"PK, K, 1st-8th",RSD,RSD,RSDreg,Not a charter,3,416,0 students,1,&nbsp;,1,59%,1,-90.052536,30.007057
396041,Julian Leadership Academy,Annette Hagan,2701 Lawrence St,New Orleans,LA,Orleans,70114,504-361-4828,"PS, PK, K, 1st-8th",RSD,RSD,RSDreg,Not a charter,2,318,2 students,1,&nbsp;,1,89%,2,-90.029411,29.938242
396042,International High School,Sara Leikin,401 Nashville Ave,New Orleans,LA,Orleans,70115,504-373-6246,8th-9th,RSD,RSD,RSDreg,Not a charter,1,115,0 students,1,&nbsp;,2,71%,1,-90.119804,29.917904
396043,Greater Gentilly High School,Lori Taylor,4950 Dauphine St,New Orleans,LA,Orleans,70117,504-373-6227,9th-10th,RSD,RSD,RSDreg,Not a charter,2,206,2 students,1,&nbsp;,3,83%,2,-90.024239,29.959646
396044,Hope Academy,Sean Goodwin,2437 Jena St,New Orleans,LA,Orleans,70115,504-373-6245,4th-8th,RSD,RSD,RSDreg,Not a charter,1,96,0 students,1,&nbsp;,2,92%,3,-90.104095,29.934505
396045,New Orleans Career Academy,Jean Pinney,727 Carondelet Street,New Orleans,LA,Orleans,70130,504-373-6216,9th-11th,RSD,RSD,RSDreg,Not a charter,1,59,0 students,1,&nbsp;,3,80%,1,-90.072693,29.947201
397001,Sophie B. Wright Inst.of Academic Excellence,"Henderson Lewis, Jr.",1426 Napoleon Ave,New Orleans,LA,Orleans,70115,504-304-3915,5th-10th,RSD,RSD-Charter,RSDregchart,Single school charter,2,348,0 students,1,&nbsp;,4,99%,3,-90.102089,29.925226
398001,KIPP Believe College Prep (Phillips),"Henderson Lewis, Jr.",1607 S Carrollton Ave,New Orleans,LA,Orleans,70118,504-304-8857,4th-8th,RSD,RSD-Charter,RSDregchart,KIPP,2,333,0 students,1,&nbsp;,2,92%,3,-90.126221,29.95031
398002,KIPP McDonogh 15 School for the Creative Arts,Heidi Marie Campbell,721 Saint Philip St,New Orleans,LA,Orleans,70116,504-566-1706,"PK, K, 1st-8th",RSD,RSD-Charter,RSDregchart,KIPP,3,480,0 students,1,&nbsp;,1,87%,2,-90.062721,29.960609
398003,KIPP Central City Academy,Todd Purvis,2625 Thalia St,New Orleans,LA,Orleans,70113,504-373-6290,5th-7th,RSD,RSD-Charter,RSDregchart,KIPP,2,288,0 students,1,&nbsp;,2,90%,2,-90.084763,29.945362
398004,KIPP Central City Primary,Korbin Johnson,2625 Thalia St,New Orleans,LA,Orleans,70113,504-373-6290,"K, 1st",RSD,RSD-Charter,RSDregchart,KIPP,1,195,0 students,1,&nbsp;,1,91%,3,-90.084763,29.945362
399001,Samuel J. Green Charter School,Jay Altman,2319 Valence St,New Orleans,LA,Orleans,70115,504-304-3532,"K, 1st-8th",RSD,RSD-Charter,RSDregchart,FIrstLine,3,460,1 students,1,&nbsp;,1,97%,3,-90.106216,29.933256
399002,Arthur Ashe Charter School,Aqua Stovall,3649 Laurel Street,New Orleans,LA,Orleans,70115,504-373-6267,"K, 1st-8th",RSD,RSD-Charter,RSDregchart,FIrstLine,2,241,0 students,1,&nbsp;,1,90%,3,-90.092087,29.919886
